directors,popularity,stars,title,writer
Frank Darabon,"30
        ","Tim Robbins,Morgan Freeman,Bob Gunton",The Shawshank Redemption,Stephen King
Sidney Lume,307,"Henry Fonda,Lee J. Cobb,Martin Balsam",12 Angry Men,Reginald Rose
Steven Spielber,173,"Liam Neeson,Ralph Fiennes,Ben Kingsley",Schindler's List,Thomas Keneally
Francis Ford Coppol,261,"Al Pacino,Robert De Niro,Robert Duvall",The Godfather: Part II,"Francis Ford Coppola,Mario Puzo"
Francis Ford Coppol,44,"Marlon Brando,Al Pacino,James Caan",The Godfather,"Mario Puzo,Francis Ford Coppola"
Christopher Nola,81,"Christian Bale,Heath Ledger,Aaron Eckhart",The Dark Knight,"Jonathan Nolan,Christopher Nolan"
Peter Jackso,156,"Elijah Wood,Viggo Mortensen,Ian McKellen",The Lord of the Rings: The Return of the King,"J.R.R. Tolkien,Fran Walsh"
Sergio Leon,281,"Clint Eastwood,Eli Wallach,Lee Van Cleef","The Good, the Bad and the Ugly","Luciano Vincenzoni,Sergio Leone"
Quentin Tarantin,"71
        ","John Travolta,Uma Thurman,Samuel L. Jackson",Pulp Fiction,"Quentin Tarantino,Roger Avary"
Peter Jackso,79,"Elijah Wood,Ian McKellen,Orlando Bloom",The Lord of the Rings: The Fellowship of the Ring,"J.R.R. Tolkien,Fran Walsh"
Robert Zemecki,103,"Tom Hanks,Robin Wright,Gary Sinise",Forrest Gump,Winston Groom
Peter Jackso,296,"Elijah Wood,Ian McKellen,Viggo Mortensen",The Lord of the Rings: The Two Towers,"J.R.R. Tolkien,Fran Walsh"
Irvin Kershne,496,"Mark Hamill,Harrison Ford,Carrie Fisher",Star Wars: Episode V - The Empire Strikes Back,"Leigh Brackett,Lawrence Kasdan"
David Finche,116,"Brad Pitt,Edward Norton,Meat Loaf",Fight Club,Chuck Palahniuk
Christopher Nola,58,"Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page",Inception,
Martin Scorses,108,"Robert De Niro,Ray Liotta,Joe Pesci",Goodfellas,"Nicholas Pileggi,Nicholas Pileggi"
Oliver Hirschbiege,812,,Downfall,
Ron Howar,555,"Russell Crowe,Ed Harris,Jennifer Connelly",A Beautiful Mind,Akiva Goldsman
Billy Wilde,832,"Marilyn Monroe,Tony Curtis,Jack Lemmon",Some Like It Hot,"Billy Wilder,I.A.L. Diamond"
Joseph L. Mankiewic,"2,898","Bette Davis,Anne Baxter,George Sanders",All About Eve,
Guillermo del Tor,529,"Ivana Baquero,Ariadna Gil,Sergi López",Pan's Labyrinth,
John Sturge,981,"Steve McQueen,James Garner,Richard Attenborough",The Great Escape,"Paul Brickhill,James Clavell"
Martin Scorses,"1,078","Robert De Niro,Cathy Moriarty,Joe Pesci",Raging Bull,"Jake LaMotta,Joseph Carter"
Tom McCarth,626,"Mark Ruffalo,Michael Keaton,Rachel McAdams",Spotlight,Josh Singer
Terry Jone,718,"Graham Chapman,John Cleese,Michael Palin",Monty Python's Life of Brian,"Graham Chapman,John Cleese"
Hayao Miyazak,"1,665","Sumi Shimamoto,Mahito Tsujimura,Hisako Kyôda",Nausicaä of the Valley of the Wind,"Hayao Miyazaki,Hayao Miyazaki"
Rob Reine,352,"Cary Elwes,Mandy Patinkin,Robin Wright",The Princess Bride,William Goldman
Wim Wender,"1,577","Harry Dean Stanton,Nastassja Kinski,Dean Stockwell","Paris, Texas","L.M. Kit Carson,Sam Shepard"
Ingmar Bergma,"2,938",,Fanny and Alexander,
Tate Taylo,328,"Emma Stone,Viola Davis,Octavia Spencer",The Help,Tate Taylor
Rajkumar Hiran,,"Aamir Khan,Anushka Sharma,Sanjay Dutt",PK,Rajkumar Hirani
Nuri Bilge Ceyla,"2,077","Haluk Bilginer,Melisa Sözen,Demet Akbag",Winter Sleep,"Ebru Ceylan,Nuri Bilge Ceylan"
Ron Clement,739,"Scott Weinger,Robin Williams,Linda Larkin",Aladdin,"Ron Clements,John Musker"
Katsuhiro Ôtom,,"Mitsuo Iwata,Nozomu Sasaki,Mami Koyama",Akira,"Katsuhiro Ôtomo,Izô Hashimoto"
Ashutosh Gowarike,"4,149","Aamir Khan,Raghuvir Yadav,Gracy Singh",Lagaan: Once Upon a Time in India,"Ashutosh Gowariker,Ashutosh Gowariker"
George Roy Hil,"1,939","Paul Newman,Robert Redford,Katharine Ross",Butch Cassidy and the Sundance Kid,
James Camero,554,"Arnold Schwarzenegger,Linda Hamilton,Michael Biehn",The Terminator,"James Cameron,Gale Anne Hurd"
Nishikant Kama,,"Ajay Devgn,Shriya Saran,Tabu",Drishyam,Jeethu Joseph
Oriol Paul,,"Mario Casas,Ana Wagener,Jose Coronado",The Invisible Guest,
Richard Linklate,"1,997","Ethan Hawke,Julie Delpy,Vernon Dobtcheff",Before Sunset,"Richard Linklater,Julie Delpy"
Kar-Wai Won,"1,757","Tony Chiu-Wai Leung,Maggie Cheung,Ping Lam Siu",In the Mood for Love,
Anurag Kashya,"2,233","Manoj Bajpayee,Richa Chadha,Nawazuddin Siddiqui",Gangs of Wasseypur,"Akhilesh Jaiswal,Anurag Kashyap"
Mathieu Kassovit,,"Vincent Cassel,Hubert Koundé,Saïd Taghmaoui",La Haine,
Frank Capr,"4,695","Clark Gable,Claudette Colbert,Walter Connolly",It Happened One Night,Robert Riskin
Céline Sciamm,97,"Noémie Merlant,Adèle Haenel,Luàna Bajrami",Portrait of a Lady on Fire,
Pete Docte,839,"Billy Crystal,John Goodman,Mary Gibbs","Monsters, Inc.","Pete Docter,Jill Culton"
John G. Avildse,"1,027","Sylvester Stallone,Talia Shire,Burt Young",Rocky,
Alfred Hitchcoc,"2,560","Laurence Olivier,Joan Fontaine,George Sanders",Rebecca,"Daphne Du Maurier,Robert E. Sherwood"
François Truffau,,"Jean-Pierre Léaud,Albert Rémy,Claire Maurier",The 400 Blows,"François Truffaut,Marcel Moussy"
Chan-wook Par,499,"Min-hee Kim,Jung-woo Ha,Jin-woong Cho",The Handmaiden,"Sarah Waters,Seo-kyeong Jeong"
Alejandro G. Iñárrit,"2,204","Emilio Echevarría,Gael García Bernal,Goya Toledo",Amores Perros,
Rakeysh Omprakash Mehr,,"Aamir Khan,Soha Ali Khan,Siddharth",Rang De Basanti,"Renzil D'Silva,Prasoon Joshi"
Peter Wei,702,"Robin Williams,Robert Sean Leonard,Ethan Hawke",Dead Poets Society,
Terry Georg,"2,522
        ",,Hotel Rwanda,
David Yate,131,"Daniel Radcliffe,Emma Watson,Rupert Grint",Harry Potter and the Deathly Hallows: Part 2,Steve Kloves
James Mangol,444,"Hugh Jackman,Patrick Stewart,Dafne Keen",Logan,"James Mangold,Scott Frank"
Ron Howar,949,"Daniel Brühl,Chris Hemsworth,Olivia Wilde",Rush,
Lasse Hallströ,,"Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa",Hachi: A Dog's Tale,Stephen P. Lindsey
Oliver Ston,668,"Charlie Sheen,Tom Berenger,Willem Dafoe",Platoon,
Clint Eastwoo,"1,090","Hilary Swank,Clint Eastwood,Morgan Freeman",Million Dollar Baby,Paul Haggis
Sean Pen,488,"Emile Hirsch,Vince Vaughn,Catherine Keener",Into the Wild,Sean Penn
Andrei Tarkovsk,,,Andrei Rublev,
William Wyle,83,"Charlton Heston,Jack Hawkins,Stephen Boyd",Ben-Hur,Lew Wallace
Stanley Kubric,528,"Ryan O'Neal,Marisa Berenson,Patrick Magee",Barry Lyndon,Stanley Kubrick
Sidney Lume,"2,338","Faye Dunaway,William Holden,Peter Finch",Network,
Rob Reine,569,"Wil Wheaton,River Phoenix,Corey Feldman",Stand by Me,"Stephen King,Raynold Gideon"
Stuart Rosenber,"1,419","Paul Newman,George Kennedy,Strother Martin",Cool Hand Luke,"Donn Pearce,Frank Pierson"
Denis Villeneuv,130,"Hugh Jackman,Jake Gyllenhaal,Viola Davis",Prisoners,
George Mille,118,"Tom Hardy,Charlize Theron,Nicholas Hoult",Mad Max: Fury Road,"George Miller,Brendan McCarthy"
Steve McQuee,592,"Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender",12 Years a Slave,John Ridley
Richard Linklate,978,"Ethan Hawke,Julie Delpy,Andrea Eckert",Before Sunrise,Richard Linklater
Dean DeBloi,"1,359","Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse",How to Train Your Dragon,"William Davies,Dean DeBlois"
Ingmar Bergma,"2,664","Bibi Andersson,Liv Ullmann,Margaretha Krook",Persona,
Steven Spielber,372,"Leonardo DiCaprio,Tom Hanks,Christopher Walken",Catch Me If You Can,"Jeff Nathanson,Frank Abagnale Jr."
James Mangol,42,"Matt Damon,Christian Bale,Jon Bernthal",Ford v Ferrari,"Jez Butterworth,John-Henry Butterworth"
David Finche,142,"Ben Affleck,Rosamund Pike,Neil Patrick Harris",Gone Girl,Gillian Flynn
Wes Anderso,277,"Ralph Fiennes,F. Murray Abraham,Mathieu Amalric",The Grand Budapest Hotel,"Stefan Zweig,Wes Anderson"
Adam Ellio,,"Toni Collette,Philip Seymour Hoffman,Eric Bana",Mary and Max,
Sergio Pablo,"1,355","Jason Schwartzman,J.K. Simmons,Rashida Jones",Klaus,"Sergio Pablos,Sergio Pablos"
Jim Sherida,"2,394",,In the Name of the Father,
Sriram Raghava,,"Ayushmann Khurrana,Tabu,Radhika Apte",Andhadhun,"Arijit Biswas,Yogesh Chandekar"
Mel Gibso,247,"Andrew Garfield,Sam Worthington,Luke Bracey",Hacksaw Ridge,Robert Schenkkan
Yavuz Turgu,,,The Bandit,
Damián Szifro,"1,023","Darío Grandinetti,María Marull,Mónica Villa",Wild Tales,Germán Servidio
Michael Cimin,846,"Robert De Niro,Christopher Walken,John Cazale",The Deer Hunter,"Michael Cimino,Deric Washburn"
Bong Joon H,568,"Kang-ho Song,Sang-kyung Kim,Roe-ha Kim",Memories of Murder,"Bong Joon Ho,Kwang-rim Kim"
Joel Coe,385,"Jeff Bridges,John Goodman,Julianne Moore",The Big Lebowski,Ethan Coen
Clint Eastwoo,720,"Clint Eastwood,Bee Vang,Christopher Carley",Gran Torino,"Nick Schenk,Dave Johannson"
Peter Wei,423,"Jim Carrey,Ed Harris,Laura Linney",The Truman Show,
Joel Coe,481,"William H. Macy,Frances McDormand,Steve Buscemi",Fargo,Ethan Coen
Andrei Tarkovsk,,"Alisa Freyndlikh,Aleksandr Kaydanovskiy,Anatoliy Solonitsyn",Stalker,"Arkadiy Strugatskiy,Boris Strugatskiy"
Quentin Tarantin,454,"Uma Thurman,David Carradine,Daryl Hannah",Kill Bill: Vol. 1,"Quentin Tarantino,Quentin Tarantino"
Carol Ree,"3,453","Orson Welles,Joseph Cotten,Alida Valli",The Third Man,Graham Greene
Elia Kaza,"2,595","Marlon Brando,Karl Malden,Lee J. Cobb",On the Waterfront,"Budd Schulberg,Budd Schulberg"
Ingmar Bergma,,,Wild Strawberries,
Andrew Stanto,803,"Albert Brooks,Ellen DeGeneres,Alexander Gould",Finding Nemo,"Andrew Stanton,Andrew Stanton"
David Lea,"1,491","William Holden,Alec Guinness,Jack Hawkins",The Bridge on the River Kwai,"Pierre Boulle,Carl Foreman"
Steven Spielber,153,"Sam Neill,Laura Dern,Jeff Goldblum",Jurassic Park,"Michael Crichton,Michael Crichton"
Ridley Scot,223,"Harrison Ford,Rutger Hauer,Sean Young",Blade Runner,"Hampton Fancher,David Webb Peoples"
John Carpente,726,"Kurt Russell,Wilford Brimley,Keith David",The Thing,Bill Lancaster
David Lync,"1,283",,The Elephant Man,
Victor Flemin,612,"Clark Gable,Vivien Leigh,Thomas Mitchell",Gone with the Wind,Margaret Mitchell
M. Night Shyamala,611,"Bruce Willis,Haley Joel Osment,Toni Collette",The Sixth Sense,
Danny Boyl,586,"Ewan McGregor,Ewen Bremner,Jonny Lee Miller",Trainspotting,Irvine Welsh
Lenny Abrahamso,329,"Brie Larson,Jacob Tremblay,Sean Bridgers",Room,Emma Donoghue
Ethan Coe,189,"Tommy Lee Jones,Javier Bardem,Josh Brolin",No Country for Old Men,"Joel Coen,Ethan Coen"
Ingmar Bergma,,,The Seventh Seal,
Alfred Hitchcoc,"2,979","Ray Milland,Grace Kelly,Robert Cummings",Dial M for Murder,Frederick Knott
James McTeigu,619,"Hugo Weaving,Natalie Portman,Rupert Graves",V for Vendetta,"Lilly Wachowski,Lana Wachowski"
Pete Docte,495,"Amy Poehler,Bill Hader,Lewis Black",Inside Out,"Pete Docter,Ronnie Del Carmen"
Martin Scorses,183,"Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo",Shutter Island,Laeta Kalogridis
Gavin O'Conno,563,"Tom Hardy,Nick Nolte,Joel Edgerton",Warrior,"Gavin O'Connor,Anthony Tambakis"
Roman Polansk,950,"Jack Nicholson,Faye Dunaway,John Huston",Chinatown,
Martin McDonag,359,"Frances McDormand,Woody Harrelson,Sam Rockwell","Three Billboards Outside Ebbing, Missouri",
Paul Thomas Anderso,322,"Daniel Day-Lewis,Paul Dano,Ciarán Hinds",There Will Be Blood,Paul Thomas Anderson
Stanley Krame,"4,720","Spencer Tracy,Burt Lancaster,Richard Widmark",Judgment at Nuremberg,Abby Mann
John Husto,"1,549","Humphrey Bogart,Walter Huston,Tim Holt",The Treasure of the Sierra Madre,John Huston
